id,sex,age,traveltime,studytime,failures,schoolsup,activities,higher,freetime,absences,passed
127,F,15,1,2,0,yes,yes,yes,3,0,yes
128,F,19,1,2,3,no,no,no,4,2,no
129,M,18,1,1,2,no,yes,yes,3,0,no
130,M,16,1,1,0,no,yes,yes,5,8,yes
131,F,15,2,3,2,no,no,yes,2,0,no
132,F,15,3,1,0,no,yes,yes,3,0,no
133,F,17,1,1,0,no,no,yes,4,12,yes
134,F,16,1,1,0,no,no,yes,2,16,yes
135,M,15,4,2,0,no,no,yes,3,0,no
136,F,15,1,3,0,no,yes,yes,3,0,no
137,M,17,3,2,0,no,no,yes,4,0,no
138,F,16,2,1,2,no,yes,yes,3,0,no
139,M,16,1,2,1,no,no,yes,4,0,yes
140,F,15,2,1,0,no,yes,yes,3,0,yes
141,M,15,2,4,0,yes,no,yes,2,0,no
142,M,16,2,1,2,no,yes,yes,3,8,no
143,F,15,1,3,0,no,yes,yes,2,2,yes
144,F,16,1,1,0,no,no,yes,4,2,yes
145,M,17,1,1,3,no,no,yes,4,0,no
146,F,15,1,2,0,no,no,yes,4,0,yes
147,F,15,1,2,3,no,no,yes,3,0,no
148,F,15,1,2,0,no,no,yes,3,2,yes
149,M,16,1,1,0,no,no,no,3,0,no
150,M,15,4,1,3,no,no,yes,5,0,yes
151,M,18,1,1,3,no,no,no,3,0,no
152,M,16,1,1,1,no,yes,yes,4,6,yes
153,F,15,2,3,2,no,yes,yes,2,8,yes
154,M,19,1,1,3,no,no,no,5,0,no
155,F,17,1,1,0,yes,no,yes,2,0,yes
156,M,15,1,2,0,yes,yes,yes,4,2,no
157,M,17,1,1,0,no,no,yes,2,8,yes
158,F,18,3,1,3,no,yes,yes,2,6,yes
159,M,16,3,1,0,no,no,yes,2,2,yes
160,M,16,1,2,1,no,no,yes,5,4,yes
161,M,17,2,1,2,no,yes,no,3,0,no
162,M,15,2,2,2,yes,no,yes,4,6,no
163,M,16,2,1,1,no,yes,yes,4,0,no
164,M,17,1,1,0,no,no,no,3,2,yes
165,M,17,4,2,3,no,yes,no,3,0,no
166,M,16,2,1,1,no,yes,no,5,16,yes
167,M,16,1,2,0,no,no,no,3,4,yes
168,F,16,1,2,0,no,no,yes,2,0,yes
169,F,16,1,2,0,no,no,yes,1,0,no
170,F,16,1,2,0,no,no,yes,4,0,yes
171,M,16,3,1,2,no,yes,yes,4,0,no
172,M,16,2,2,0,no,yes,yes,3,2,yes
173,M,17,1,2,0,no,yes,yes,4,0,yes
174,F,16,1,2,3,no,yes,yes,3,0,no
175,F,16,2,2,0,no,yes,yes,4,4,no
176,M,17,2,2,0,no,yes,yes,4,4,no
177,F,16,2,2,0,no,yes,yes,4,2,yes
178,M,17,1,2,0,no,yes,yes,3,4,no
179,M,16,1,1,0,no,yes,yes,3,10,no
180,M,17,1,2,0,no,yes,yes,2,4,yes
181,M,16,1,2,0,no,yes,yes,4,10,no
182,M,16,1,2,0,no,yes,yes,2,2,yes
183,F,17,1,2,0,no,yes,yes,4,0,yes
184,F,17,1,2,0,no,yes,yes,3,56,no
185,F,16,1,2,0,no,no,yes,2,14,yes
186,M,17,1,2,0,no,yes,yes,3,12,yes
187,M,16,1,1,0,no,yes,yes,3,2,yes
188,M,16,1,2,0,no,yes,yes,2,0,yes
189,F,17,1,2,0,no,no,yes,3,6,no
190,M,17,1,2,0,no,no,yes,1,4,yes
191,F,16,1,2,0,no,no,yes,3,10,yes
192,F,17,1,2,0,no,yes,yes,3,0,no
193,M,17,2,2,0,no,yes,yes,4,12,no
194,M,16,1,1,0,no,yes,yes,3,8,yes
195,M,16,2,1,0,no,no,yes,3,0,yes
196,F,17,1,2,0,no,yes,yes,3,0,yes
197,M,17,1,1,0,no,no,yes,2,4,yes
198,M,16,3,1,0,no,yes,yes,3,8,yes
199,F,17,2,1,1,no,no,yes,2,24,yes
200,F,16,1,2,0,no,no,yes,5,0,yes
201,F,16,1,2,0,no,yes,yes,3,2,yes
202,F,16,1,2,0,yes,yes,yes,4,6,yes
203,F,17,1,2,0,no,no,yes,4,4,yes
204,F,17,1,1,0,no,no,yes,3,18,no
205,F,16,2,4,0,no,yes,yes,3,6,yes
206,F,17,1,3,1,no,no,yes,4,28,no
207,F,16,1,2,3,no,no,yes,3,5,no
208,F,16,1,2,0,no,yes,yes,3,10,yes
209,F,16,2,1,0,no,no,yes,3,6,yes
210,F,17,2,3,0,no,yes,yes,4,6,no
211,F,19,1,4,0,no,yes,yes,3,10,no
212,M,17,1,2,0,no,no,yes,3,13,yes
213,F,16,1,2,0,yes,no,yes,3,0,yes
214,M,18,1,2,1,no,yes,yes,4,15,no
215,F,17,1,1,0,no,no,yes,2,12,yes
216,F,17,2,2,0,no,no,yes,4,2,yes
217,F,17,1,2,2,no,no,yes,4,22,no
218,M,18,1,2,1,no,no,yes,2,13,no
219,F,17,2,1,0,no,no,yes,3,3,no
220,F,17,1,3,0,no,yes,yes,3,4,yes
221,F,17,2,2,0,no,yes,yes,2,2,no
222,F,17,1,3,1,no,yes,yes,3,0,no
223,F,16,1,2,0,yes,no,yes,3,2,yes
224,M,18,2,2,0,no,no,yes,3,0,yes
225,F,16,1,3,0,no,yes,yes,3,0,yes
226,F,18,1,2,1,no,yes,yes,3,16,no
227,F,17,1,2,0,no,yes,yes,3,10,yes
228,M,17,1,2,0,no,no,yes,3,2,yes
229,M,18,4,2,0,yes,yes,yes,3,14,no
230,F,17,2,3,0,no,yes,yes,2,10,yes
231,F,17,1,2,0,no,yes,yes,2,14,yes
232,M,17,2,2,0,no,yes,yes,5,4,yes
233,M,17,1,2,0,yes,yes,yes,5,14,no
234,M,16,1,2,0,no,yes,yes,2,2,yes
235,M,16,2,2,0,no,no,yes,4,18,no
236,M,16,2,3,0,no,yes,yes,3,10,yes
237,M,17,1,2,0,no,yes,yes,4,4,yes
238,F,16,1,1,0,no,no,yes,5,20,yes
239,F,17,3,2,0,no,yes,yes,1,2,yes
240,M,18,1,2,1,no,no,no,5,0,no
241,M,17,2,2,0,no,yes,yes,5,14,yes
242,M,17,2,2,0,no,no,yes,3,2,yes
243,M,16,1,1,0,no,yes,yes,4,0,no
244,M,16,1,1,0,no,yes,yes,3,0,yes
245,F,18,2,3,0,no,no,yes,4,0,no
246,M,16,3,1,0,no,no,yes,3,6,yes
247,M,17,2,1,0,no,no,yes,2,4,yes
248,M,22,1,1,3,no,no,no,4,16,no
249,M,18,1,2,1,no,no,yes,3,8,no
250,M,16,1,1,0,no,no,yes,3,0,yes
251,M,18,2,1,1,no,no,no,4,0,no
252,M,16,3,2,0,yes,no,yes,3,6,yes
253,M,18,1,1,1,no,no,no,2,4,no
254,M,16,2,1,0,no,yes,yes,3,0,no
255,M,17,1,1,0,no,no,yes,4,0,yes
256,M,17,2,1,1,no,yes,yes,4,2,no
257,F,17,1,4,0,no,yes,yes,2,6,yes
258,M,19,1,2,0,no,no,yes,3,12,yes
259,M,18,1,2,0,no,yes,yes,2,8,yes
260,F,17,1,4,0,no,yes,yes,4,0,no
261,F,18,1,2,0,no,no,yes,1,21,yes
262,M,18,1,2,0,no,no,yes,3,2,no
263,M,18,1,3,0,no,yes,yes,3,1,yes
264,F,17,1,3,0,no,yes,yes,2,4,no
265,F,18,1,3,0,no,yes,yes,3,0,no
266,M,18,2,2,0,no,yes,yes,2,13,yes
267,M,17,1,2,0,no,yes,yes,4,2,yes
268,F,18,2,2,0,no,yes,yes,3,8,yes
269,M,18,1,2,0,no,yes,yes,4,10,yes
270,F,18,2,2,0,no,no,no,3,0,no
271,F,19,1,2,2,no,yes,yes,3,15,no
272,F,18,1,4,0,no,yes,yes,5,4,yes
273,F,18,2,2,0,no,no,yes,4,2,yes
274,M,17,1,2,0,no,yes,yes,5,2,yes
275,F,17,2,2,0,no,no,yes,3,2,yes
276,F,17,2,2,0,yes,no,yes,4,6,yes
277,F,18,2,2,0,no,no,no,1,75,no
278,M,18,2,1,0,no,yes,yes,2,22,no
279,F,18,1,2,1,yes,yes,yes,4,15,no
280,M,18,2,1,0,no,yes,yes,2,8,yes
281,M,17,2,1,0,no,yes,yes,5,30,no
282,M,17,1,1,1,no,no,yes,4,19,yes
283,F,18,2,4,0,no,yes,yes,2,1,yes
284,F,18,2,2,0,yes,yes,yes,4,4,yes
285,F,17,1,2,0,no,no,yes,4,4,yes
286,M,17,1,2,0,no,no,yes,3,2,yes
287,F,18,1,3,0,no,no,yes,3,5,yes
288,F,17,1,3,0,no,no,yes,3,6,yes
289,M,18,1,3,0,no,yes,yes,2,6,yes
290,M,18,1,2,0,no,yes,yes,4,9,yes
291,M,18,1,2,0,no,yes,yes,3,11,yes
292,F,17,1,3,0,no,no,yes,2,0,yes
293,F,18,1,2,1,no,no,yes,4,12,yes
294,F,17,2,4,0,no,no,yes,1,6,yes
295,M,18,2,3,0,no,yes,yes,4,8,yes
296,M,17,1,1,0,no,no,yes,4,4,yes
297,F,19,2,2,0,no,yes,yes,3,0,no
298,F,18,2,2,0,no,no,yes,4,10,no
299,F,18,1,4,0,no,no,yes,3,0,yes
300,M,18,1,1,0,no,no,yes,4,5,yes
301,F,18,1,2,0,no,no,yes,2,14,yes
302,M,17,2,1,0,no,no,yes,1,0,yes
303,F,17,2,3,0,no,no,yes,3,0,yes
304,F,17,1,4,0,no,yes,yes,2,0,yes
305,M,19,1,2,1,no,yes,yes,4,20,yes
306,F,18,1,2,1,no,yes,yes,4,8,yes
307,M,20,1,1,0,no,yes,yes,5,0,yes
308,M,19,2,1,1,no,no,yes,3,38,no
309,M,19,1,2,1,no,yes,yes,5,0,yes
310,F,19,1,2,1,yes,yes,yes,4,18,yes
311,F,19,1,2,1,no,yes,yes,2,0,no
312,F,19,3,2,0,no,no,no,4,20,yes
313,M,19,1,2,1,no,no,yes,5,3,yes
314,F,19,2,2,1,no,no,yes,2,22,yes
315,F,19,1,3,2,no,no,yes,1,14,yes
316,F,19,1,3,1,no,no,yes,1,40,yes
317,F,18,2,2,0,no,yes,yes,3,0,no
318,F,18,1,3,0,no,yes,yes,3,9,no
319,F,17,1,3,0,no,yes,yes,3,0,yes
320,F,18,1,2,0,no,no,yes,4,2,yes
321,F,17,1,2,0,no,no,yes,2,23,yes
322,F,17,1,2,0,no,no,yes,2,12,no
323,F,17,1,3,0,no,yes,yes,3,3,yes
324,F,17,1,3,0,no,no,yes,4,1,yes
325,F,17,2,3,0,no,no,yes,3,0,yes
326,M,18,1,3,0,no,yes,yes,3,3,yes
327,M,17,1,1,0,no,yes,yes,3,3,yes
328,M,17,4,1,0,no,no,yes,4,8,yes
329,F,17,1,3,0,no,yes,yes,4,7,no
330,F,17,2,3,0,no,no,yes,3,4,yes
331,M,18,1,4,0,no,yes,yes,5,2,no
332,F,17,1,3,0,no,no,yes,4,7,yes
333,F,18,1,2,0,no,yes,yes,3,0,no
334,F,18,1,2,0,no,yes,yes,3,0,no
335,F,18,2,4,0,no,yes,yes,4,0,no
336,F,17,1,3,0,no,no,yes,4,16,yes
337,F,19,1,3,1,no,no,yes,4,12,yes
338,F,17,1,2,0,no,no,yes,3,0,no
339,F,18,1,4,0,no,no,yes,3,7,yes
340,F,17,1,2,0,no,no,yes,3,4,yes
341,F,19,1,3,1,no,yes,yes,3,4,yes
342,M,18,1,2,1,no,yes,yes,3,0,no
343,M,18,1,2,0,no,yes,yes,3,11,yes
344,F,17,1,2,1,no,no,yes,3,0,no
345,F,18,1,3,0,no,no,yes,3,4,yes
346,F,18,1,3,0,no,no,yes,4,7,yes
347,M,18,1,3,0,no,no,yes,3,9,yes
348,M,18,1,3,0,no,no,yes,4,0,no
349,F,17,1,3,0,no,yes,yes,4,0,yes
350,M,18,2,1,1,no,no,yes,5,10,yes
351,M,19,3,2,3,no,no,yes,4,8,no
352,M,17,2,2,0,no,no,yes,5,2,yes
353,M,18,1,1,1,no,no,no,3,7,no
354,M,19,3,1,1,no,no,yes,4,4,no
355,M,17,2,2,0,no,yes,yes,5,4,yes
356,F,18,1,2,0,no,no,yes,3,0,no
357,F,17,2,2,0,no,yes,yes,3,4,yes
358,F,17,2,2,0,no,no,yes,2,2,yes
359,M,18,2,1,0,no,no,yes,3,4,yes
360,F,18,2,3,0,no,no,yes,3,0,yes
361,F,18,3,2,0,no,no,yes,3,0,yes
362,M,18,2,2,1,no,yes,no,4,2,yes
363,F,18,2,2,0,no,no,yes,3,0,yes
364,F,17,1,2,0,no,yes,yes,3,0,yes
365,F,17,2,2,0,no,no,yes,2,0,yes
366,M,18,2,2,0,no,no,yes,3,4,yes
367,M,18,2,3,0,no,no,yes,2,0,yes
368,F,17,3,1,1,no,no,yes,2,0,no
369,F,18,2,1,0,no,no,yes,2,0,yes
370,F,18,3,2,0,no,no,yes,2,10,yes
371,F,19,2,2,2,no,yes,yes,2,4,no
372,M,18,3,1,0,no,yes,no,3,3,yes
373,F,17,1,3,0,no,yes,yes,4,8,yes
374,F,17,1,1,0,no,yes,yes,5,14,no
375,F,18,2,3,0,no,no,yes,4,0,yes
376,F,18,4,3,0,no,no,yes,3,2,yes
377,F,20,2,3,2,no,no,yes,4,4,yes
378,F,18,1,2,0,no,yes,yes,4,4,yes
379,F,18,1,2,0,no,no,yes,1,0,yes
380,F,17,1,2,0,no,yes,yes,5,17,yes
381,M,18,1,2,0,no,yes,yes,2,4,yes
382,M,18,2,1,0,no,yes,yes,4,5,no
383,M,17,2,2,0,no,yes,yes,4,2,yes
384,M,19,2,1,1,no,no,yes,3,0,no
385,M,18,2,1,1,no,no,yes,4,14,no
386,F,18,2,3,0,no,no,yes,3,2,yes
387,F,18,3,1,0,no,yes,yes,4,7,no
388,F,19,1,3,1,no,yes,yes,4,0,no
389,F,18,1,2,0,no,no,yes,3,0,no
390,F,18,2,2,1,no,yes,yes,1,0,no
391,M,20,1,2,2,no,no,yes,5,11,no
392,M,17,2,1,0,no,no,yes,4,3,yes
393,M,21,1,1,3,no,no,yes,5,3,no
394,M,18,3,1,0,no,no,yes,4,0,yes
395,M,19,1,1,0,no,no,yes,2,5,no
